arrangement_id	classification	historical_factor_count	historical_field_absent	historical_has_parameters	new_parameter_symbols	new_raw_factor_count	new_source_field_absent
68	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
69	formatting_or_normalization_difference	8	True	False		8	False
70	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
71	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
72	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
73	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
74	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
75	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
76	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
77	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
78	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
79	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
80	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
81	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
82	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
83	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
84	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
85	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
86	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
87	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
88	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
89	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
90	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
91	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
92	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
93	formatting_or_normalization_difference	8	True	False		8	False
94	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
95	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
96	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
97	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
98	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
99	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
100	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
101	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
102	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
103	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
104	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
105	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
106	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
107	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
108	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
109	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
110	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
111	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
112	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
113	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
114	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
115	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
116	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
